"","company","site","reporting.year","county","product.description","co","nox","pm10","pm2.5","so2","voc"
"1","PIONEER NATURAL RESOURCES USA INC","PAWNEE GAS PLANT",2015,"BEE","CRUDE PETROLEUM & NATURAL GAS",122.4714,74.4408,3.351,3.351,354.2593,11.6137
"2","KINDER MORGAN TEXAS PIPELINE LLC","KENEDY COMPRESSOR STATION",2015,"BEE","NATURAL GAS TRANSMISSION",29.2309,113.6043,2.342,2.342,1.2061,19.5186
"3","MARATHON EAGLE FORD MIDSTREAM LLC","SUGARLOAF STATION",2015,"BEE","CRUDE PETROLEUM & NATURAL GAS",22.5226,45.6674,3.8394,3.8393,0.2345,59.9516
"4","WTG GAS PROCESSING LP","GOOD BOOSTER STATION",2015,"BORDEN","CRUDE PETROLEUM & NATURAL GAS",34.5,171.86,2.56,2.56,0.0086,22.6804
"5","XOG RESOURCES LLC","BRAZORIA NATURAL GAS BOOSTER",2015,"BRAZORIA","CRUDE PETROLEUM & NATURAL GAS",1.3899,0.6022,0.1775,0.1775,0.0057,19.1129
"6","HILCORP ENERGY  COMPANY","HILCORP WILSON COMPRESSOR",2015,"BRAZORIA","CRUDE PETROLEUM & NATURAL GAS",0.318,1.8717,0.2301,0.2301,0.0135,4.9286
"7","SCOUT ENERGY MANAGEMENT LLC","BURNETT A COMPRESSOR STATION",2015,"CARSON","CRUDE PETROLEUM & NATURAL GAS",4.4238,24.0078,0.492,0.492,0,70.1618
"8","SCOUT ENERGY MANAGEMENT LLC","BURNETT MAIN COMPRESSOR",2015,"CARSON","NATURAL GAS TRANSMISSION",20.2142,28.8672,4.5531,4.5531,0,75.6135
"9","EXXONMOBIL CHEMICAL COMPANY","MONT BELVIEU PLASTICS PLANT",2015,"CHAMBERS","PLASTICS MATERIALS AND SYNTHETIC RESINS",132.6289,50.5388,32.8454,3.2852,0.3648,189.6144
"10","DENBURY ONSHORE LLC","OYSTER BAYOU FACILITY",2015,"CHAMBERS","CRUDE PETROLEUM & NATURAL GAS",6.4836,15.5286,3.4948,3.4948,0,17.5636
"11","ELLIOTT OIL & GAS OPERATING CO","KAHLA JONES PRODUCTION SITE",2015,"CHAMBERS","CRUDE PETROLEUM & NATURAL GAS",3.884,6.919,0.144,0.144,0.001,8.621
"12","LONE STAR NGL FRACTIONATORS LLC","MONT BELVIEU GAS PLANT",2015,"CHAMBERS","NATURAL GAS LIQUIDS",48.4879,34.2083,15.1616,15.1616,7.0697,54.3209
"13","TORRENT OIL LLC","WILBURN & J WILBURN SALTWATER PRODUCTION FACILITY",2015,"CHAMBERS","CRUDE PETROLEUM & NATURAL GAS",21.04,11.23,0.121,0.121,52.28,19.4114
"14","ATMOS ENERGY CORP","LA PAN STORAGE COMPRESSOR STATION",2015,"CLAY","NATURAL GAS TRANSMISSION",52.9983,59.0917,0.8202,0.8202,0.019,24.2618
"15","OXY USA INC","BLOCK 31 GAS PLANT",2015,"CRANE","CRUDE PETROLEUM & NATURAL GAS",161.59,1184.78,30.82,30.82,11.703,60.15
"16","TARGA MIDSTREAM SERVICES LLC","L&H COMPRESSOR STATION",2015,"CRANE","CRUDE PETROLEUM & NATURAL GAS",45.025,252.928,2.875,2.875,0.12,38.251
"17","ETC FIELD SERVICES LLC","TIPPETT GAS PLANT",2015,"CROCKETT","NATURAL GAS LIQUIDS",467.3104,202.1148,3.8003,3.8003,0.4399,27.136
"18","ONEOK WESTEX TRANSMISSION LLC","RED RIVER NO 2 LAMESA",2015,"DAWSON","NATURAL GAS TRANSMISSION",19.5092,16.6402,0.3335,0.3335,0.1717,5.3914
"19","TEXAS MIDSTREAM GAS SERVICES LLC","PONDER COMPRESSOR STATION",2015,"DENTON","CRUDE PETROLEUM & NATURAL GAS",6.7,7.72,1.45,1.45,0.05,2.63
"20","DEVON ENERGY PRODUCTION COMPANY LP","GREEN YVONNE NO 1",2015,"DENTON","CRUDE PETROLEUM & NATURAL GAS",2.2976,1.6332,0.1612,0.1612,0,6.9216
"21","TEXAS EASTERN TRANSMISSION LP","THOMASTON COMPRESSOR STATION",2015,"DE WITT","NATURAL GAS TRANSMISSION",45.5344,80.2437,2.2871,2.2871,0.1443,27.3632
"22","MOCKINGBIRD MIDSTREAM GAS SERVICES LLC","FAITH BONITA COMPRESSOR FACILITY",2015,"DIMMIT","CRUDE PETROLEUM & NATURAL GAS",9.0642,45.0124,1.8303,1.8303,0.1054,30.1915
"23","FOUR STAR OIL & GAS COMPANY","HEADLEE DEVONIAN PLANT",2015,"ECTOR","NATURAL GAS LIQUIDS",193.8164,324.3985,10.4292,10.4291,43.6035,28.2704
"24","JAMES LAKE MIDSTREAM LLC","JAMES LAKE GAS PLANT",2015,"ECTOR","NATURAL GAS LIQUIDS",78.2034,135.0194,6.839,6.839,0.1494,81.6149
"25","BARNETT GATHERING LLC","VENUS COMPRESOR STATION",2015,"ELLIS","CRUDE PETROLEUM & NATURAL GAS",5.714,2.208,0.788,0.788,0.025,3.2261
"26","ENBRIDGE G & P NORTH TEXAS LP","HUCKABAY GAS PLANT",2015,"ERATH","NATURAL GAS LIQUIDS",51.5357,174.8258,6.713,6.713,1.1925,20.6194
"27","ETC TEXAS PIPELINE LTD","LAGRANGE PLANT",2015,"FAYETTE","NATURAL GAS LIQUIDS",68.811,220.303,5.789,5.789,70.08,34.475
"28","MAVERICK DRILLING & EXPLORATION USA INC","BLAKELY E PRODUCTION FACILITY",2015,"FORT BEND","CRUDE PETROLEUM & NATURAL GAS",2.9368,1.5936,0.0161,0.0161,0.0013,4.235
"29","ENBRIDGE G & P EAST TEXAS LP","AKER PLANT",2015,"FREESTONE","CRUDE PETROLEUM & NATURAL GAS",31.561,34.0085,4.4929,4.1769,0.4945,7.7338
"30","ENBRIDGE G & P EAST TEXAS LP","STREETMAN COMPRESSOR STATION",2015,"FREESTONE","NATURAL GAS TRANSMISSION",9.3647,56.6679,1.1934,0.9086,0.0076,4.7236
"31","LEGACY RESERVES OPERATING LP","DOWDY RANCH CENTRAL GATHERING FACILITY",2015,"FREESTONE","CRUDE PETROLEUM & NATURAL GAS",10.509,71.509,0.05,0.05,0.214,7.0295
